title,link,published,date,source
Shares of high fructose syrup producer ADM fall after Trump says Coca-Cola agrees to use real cane sugar - CNBC,https://news.google.com/rss/articles/CBMiywFBVV95cUxQZzJiVGFZWnVDMWYwa2MwR3UzaWJMU1JMSUZfZzU3Rm1JTGkyRFdvakpIc0FabG1IM0ZodENjVVk2NmVkSmZyQW5nZWZndVIyaVFVeUNLQWs4a2loRDBBYXpUcHY0bEdPMUdtaHF6UWtSTzJ6ZmZlMUxPRDlqazhNUDQxdmFWMkhUcXRERHg0Zk5VOFI0TnFfRUs2dU9Ycl9DT3ZXeG9ta3hBY2cydWMyRHpvWDBTMi13c3hFT0tqTUMxRmJMbmljcUdfQdIB0AFBVV95cUxNZlRBaWVZVkJKRmxJVkhWQUp3R2FoRGdxaG5maF9UMVJSVEFwdGZJZ01RLUV0cEpQQnFqNXNqR2o0RnpKYmRWSzFocVh4TW0zR1VLRFpBbThoRFo2UkktTU5sRXRwZGttTEN6Um54cGFfYmZqcnFVUzZ1VG1VM1l6YkVVbHFCTXhXTTlkeGUwOS1JTFN6RVZJRlJOaDh0cnR2TG5SWXlVZkw1TmppTlRfZFEzTzdTM0M4QzlmUzZhdmRySmJlUERvaDdoM1VXOVZo?oc=5,"Thu, 17 Jul 2025 12:17:40 GMT",2025-07-17 12:17:40,Google
Why Coca-Cola (KO) Outpaced the Stock Market Today - Yahoo Finance,https://news.google.com/rss/articles/CBMie0FVX3lxTE5LSWJERXNGZ2ladGpPRWFoc2o5SEhzZFJoMUwxUUxDa0dEUjhNdHJvNDFBX3k2LTVwWjJKSDlVTHhYODJobVhTU2FaZ1FNOVI3eWVRQzRRQzd6N1VjZE1qY0dILXktQVBMNm5qTFVCaXpLdm8tdE9UVF8xaw?oc=5,"Thu, 17 Jul 2025 21:45:03 GMT",2025-07-17 21:45:03,Google
Trump’s Coca Cola post tanked share prices for high fructose corn syrup makers - Fortune,https://news.google.com/rss/articles/CBMipwFBVV95cUxPZ3pJaVRZWmNfUVY5eDdMWnRIUHVUWVVKSWNIaV95aThfV3RjVUZ4MmtWSWVGVXZjakduaEJVWGlWQlM3ZjVaZDEwUjNDd0Q5ZmF4TVJJWHhQWlBtNWxZRlZkNUt0elBjcnYxSlRDS3dsZmNXTUV4czEtVVdMM0lzYlVUTjc1UG1GZnlhUFdKdUpXQjJrYWRHZm5VaEZlb0FMbm9WX1A4RQ?oc=5,"Thu, 17 Jul 2025 15:15:00 GMT",2025-07-17 15:15:00,Google
Trump Says Coca-Cola Agreed to Use Real Sugar in U.S. But Coca-Cola Refuses to Confirm. - The New York Times,https://news.google.com/rss/articles/CBMihAFBVV95cUxQOE1NQ2tJXzZZb1lQaVQ4U1pBT3p2N1d1cGNmS09aVnEwUWRILThXNmhoc0ZwUjJIX251QnR6TkhrSDhJUjV0UkIycHdtWVZtZHhaSHJHSVNva0xQZUpTR2VoV0FLRGhQRUpOY3hoRm1rcENDczFJUG1Jd216SXpzYmtwcGE?oc=5,"Thu, 17 Jul 2025 23:19:00 GMT",2025-07-17 23:19:00,Google
Make Coca-Cola Great Again - The Atlantic,https://news.google.com/rss/articles/CBMihgFBVV95cUxNWGpnbFhQSmpDb1dUYVpSTXFsMFJGQUYwRjVfbks4UERtRHhwdjQtYWRya2FyN3RocEw2YVhUUGRFcERrSENQdWR1S1J6WDFPTVpIS08wbmx0UkplUHliUGI1bG1CMTNEZW16WlNtSnRVSHBJNmpsNzlHOWlsM1A2MUFLVWh6UQ?oc=5,"Fri, 18 Jul 2025 00:52:00 GMT",2025-07-18 00:52:00,Google
Trump Says Coca-Cola Agrees to Use Cane Sugar for Coke in US - Bloomberg.com,https://news.google.com/rss/articles/CBMisAFBVV95cUxQbDlBNkh5WXM4c0MtM3Y5R0hJN1RjUzlLLXJsUGZFMUtSano5ZEVYTThrZ2ZyTFhJT01tWEJ5SWJLWERiRm9MT3U4RnNJYU5qY0hqeDNMNGFYelFuNzBKdGtQZnhLVFRTR2JJdnZiTHpLVFhlSW5WLUhWMUZ6Q3phbzZuaEJWYnJRUmJVbjUtVi01bzF3RkFTUGFHMXJQcFp1RWxBVnpUQkhUSVY0Zkd1cA?oc=5,"Thu, 17 Jul 2025 14:08:37 GMT",2025-07-17 14:08:37,Google
Trump takes credit for sweet change to Coca-Cola - CNN,https://news.google.com/rss/articles/CBMiigFBVV95cUxQLTRPeW9rMXIzeGxWbE50dXFvYkxmd1lBWXpLMXlHLTR5UUc0UHN5SV9ETEYzY1FOZDlRVzVObENQZEhxQ2FqUW1nTkdXZFdHTlBGbFVPdnNoZnFfLXVfQ3RlVG10a0xDYXYyTkFDWE5xZHBNNjlVWXBEZjNTMUVhb1IzdlVXb280dmfSAY8BQVVfeXFMTXBlUlEwRi03cVRLN0hNMnVrNFdvQ3ByejFUOGFPZ2RhV3hfZmgwX1dadWh6UU9oSEtsV1FudkE3VGc1LUF4MzdqekdrWjl3R1Q2YTFoQzJGUnZzMHpFVkNpb1dic1JidVFaX2NSVGUzeGRsT2hHNGowMU1PNXdpRjlpRFRoajdLNm90Q1htdmc?oc=5,"Thu, 17 Jul 2025 15:18:00 GMT",2025-07-17 15:18:00,Google
Coca-Cola defends corn syrup after Trump claims he struck cane sugar deal - The Guardian,https://news.google.com/rss/articles/CBMijgFBVV95cUxOQUg3OFp5UHhVR01LQ3Zscks3WTE4MlNDTDVXYjRKaDI4dWh4Zk1FZll5RHhVdmRLZE5MaHA5cFV5Z09pa1hoUU5pMm96dDAxR2s4NEtQelBqTGJxUnJjMnVodWVDT0hjQ0pLbzROWVBBRHpydFJ1MjJfdERLUmQxNnVVYXNUZk9tb3B3UC1B?oc=5,"Thu, 17 Jul 2025 13:43:00 GMT",2025-07-17 13:43:00,Google
"Trump wants cane sugar in Coke, but corn group warns that'll slash jobs - Axios",https://news.google.com/rss/articles/CBMia0FVX3lxTE5KNkVfcmJEX0xPSVhIbmh5ZWUtQXNTclFtOFA0YkJnZ2N3akRYQVdMRzd2Tjh6VTNQc3V2ZUh0Uzh1aXpjS05oc0MyTDRYbVdmd1dXSVZrSElZS3A5YkxDNUhGdTB6U0tIbHFn?oc=5,"Thu, 17 Jul 2025 19:46:07 GMT",2025-07-17 19:46:07,Google
Is Coca-Cola changing its US recipe? What we know so far - USA Today,https://news.google.com/rss/articles/CBMilwFBVV95cUxPQ0EyMktySFpIdTMzUGZZMXlqVTl4aDVnY0VhMFZYSnB2NkxjVzZXMFR5N2V3aWtTdnlQbEVTSWloVFFnaC05OVltQ1Z3MnVZWDNlbVBpT2FSX0NGb0JQZWpvOUppNXU1Y0M1OWlRV0tFRWVyRE5MSVpSMU1LeHdkTHJBOExsVkpVN0VYLVRtRkxSa254cnBR?oc=5,"Fri, 18 Jul 2025 00:41:49 GMT",2025-07-18 00:41:49,Google
