title,link,published,date,source
"PepsiCo stock rises on earnings beat, turnaround plan - CNBC",https://news.google.com/rss/articles/CBMic0FVX3lxTE53YkhBMUtlN1B5NHhFQVliMXNTdC1TbzNSRHoyaHlzYWhOQTlSbTZMcWpNRk9FOXJBdzY2bmJ3Q3JHdFotRUI3M0NYRklGbllGTEdzUFpPU2pUVHZldnBkM0J4eWdlMGFONFFQVHpxNHlZQ1HSAXhBVV95cUxPMjlTc3ZOcXdNR19Rc3Brc2xxNDR1eTNJUUY3anc4Q1FlZldRWExCbVlfaGk5Vng2TFBONnFqZzhfOVV4VHlPczJycjJvYVNzWDVndGpjcXVBV3BFcTJONVFRLVFVVGVlbk1JejItSjNLVllKMlNZdEQ?oc=5,"Thu, 17 Jul 2025 10:08:57 GMT",2025-07-17 10:08:57,Google
PepsiCo Stock Rises After Earnings. Why the Dollar Is Helping Its Outlook. - Barron's,https://news.google.com/rss/articles/CBMiekFVX3lxTFBXVjBVZVFMZWxfR1V1NEpqcVN5SzNJSC03S3ZBT3BObEtwbkhLcFVCX2xLZ21wemtXeFhZSTQtTFppSHZFOW43NEpaT0t4NmpXTC14ckhFZnJNZkxEd3BsVGF3NUw0Ylc4NFVtMzVhRjFSdzA2MGN1WEF3?oc=5,"Thu, 17 Jul 2025 15:35:00 GMT",2025-07-17 15:35:00,Google
PepsiCo sees growth in ‘away from home’ sales as more people are eating out - MarketWatch,https://news.google.com/rss/articles/CBMi0gFBVV95cUxQNzRXR0lVeU1vNV9YVkxjMWV1TWVNQVZkVmNkcnItODliQVZyNEU3WkV1RDA2VXYwRmd1X0ZheG1oZm5qcTFYNFh6YmVlYmRBdk1VYWw5Yzg3cDVRcEdwVjlWdEc5RW01dEtQSVg2OV8tR0EzT1JKMEdPT2lZdENoYTdzNjU0Y3ZyMDFmLVIwR0tDS3BVX0UyaURrQzh2S1Ftc3lTT3MwdkZoR2xSODQ5X3JlbHJUVU81WDlqMG5Sc0VVdThFdDZUTkJWWjNnX0tfOUE?oc=5,"Thu, 17 Jul 2025 10:10:00 GMT",2025-07-17 10:10:00,Google
PepsiCo Stock Pops After Strong Q2 -- Global Sales Do the Heavy Lifting - Yahoo Finance,https://news.google.com/rss/articles/CBMif0FVX3lxTE8xMUFYVXprQkJ1cE5mWVliZzdrM0hMLVpSZmJ0ek1yM3B5WHNCZDZRN0Nra0N4UWxicnNTSGotT0s2WnBHV3RfaWdLdGJ1N3l4a19RRElKVU9jQmI4V0N4UHRtemY0RWUwYm8ydkhuQXU3dklWNnNsZklIazBpR3c?oc=5,"Thu, 17 Jul 2025 18:18:42 GMT",2025-07-17 18:18:42,Google
"PepsiCo's results exceed expectations on international growth, soda demand rebound - Reuters",https://news.google.com/rss/articles/CBMivwFBVV95cUxNbXlPdkVqQk9leXFGM0t0VGxlX0VsNWhZQk5YbDVwU3g1cG9raVRFTzZFR3I2UUpTMU85VnZBRzhVQUt2RmNacE1ZaGZpT1VZc0pvVi11RkFCZExfdGFSMDM5NjBjcGFSLXd2TWhvbGUtNFh1TXlKVlNHbE5pSVdtdURqbGVFbDd0SWJkYllyMjNiSEFSTExDbENIQkJYbzlQV1VRY2g2S0ZrTEdfcjZuMkNxZHZJZDgwUTlOUWYyQQ?oc=5,"Thu, 17 Jul 2025 14:22:00 GMT",2025-07-17 14:22:00,Google
"PepsiCo earnings beat by $0.09, revenue topped estimates - Investing.com",https://news.google.com/rss/articles/CBMiowFBVV95cUxNWkFiQnBMejE0VnlkRnpyNEVtdGkzWDA3RTB6bElMclo4cVVDOW9CY0N2T1VDUGhJWkcwRGMxalk2S0VGSEJDUGk2RE1UWnhlZFV5eVBQY0tRbm5iRk41TnMzZEFQUk00Mk1Da2hOYkUwZUVaWDRKUUgyaFRRSmtleldCQlk0eC1mUDVFNU42a0pCNmU4NGIxZFlDN3IxRlVmYjdv?oc=5,"Thu, 17 Jul 2025 10:09:45 GMT",2025-07-17 10:09:45,Google
PepsiCo to Streamline Operations Amid Higher Supply Chain Costs - PYMNTS.com,https://news.google.com/rss/articles/CBMiowFBVV95cUxPckw2M1hmZFRRNnZWd01sY01sNHBwQWppZkJfbzNaMktJcUVTYzNhY0NzYmdxNGpHanZoN1Vka3l2Z0JoZlk0djBpMlRBaENjc3ZXRkRib0NmNllXYjFEc0xLSGRhUlUxYjJiMkNWYUJLTlV5X1h3a3AyVzd6X0lrYUZINmpjS01QWFlsbVozUVB3cjZvdjJ0bkFwTlJBQzBxWlFB?oc=5,"Thu, 17 Jul 2025 23:20:15 GMT",2025-07-17 23:20:15,Google
PepsiCo Reaches for Protein and Fiber to Boost Sales of Frito-Lay Snacks - The New York Times,https://news.google.com/rss/articles/CBMihwFBVV95cUxOdkJSTFNHN0txRktqZi1EQWNjSi0yQ0Q0c1pvdTBFVUM5VU9qanZMMFlud1R0OV9FbG5LaVFsLTluNmVLZ2lfN2VmSjdqRzUyb0RBQnNncEtzV1JMcTg4RjM3Rjl2XzBoNWxqdFZvUmx2R0h1clFhbWxJMVI0R1EyNU5STFJySGc?oc=5,"Thu, 17 Jul 2025 18:13:58 GMT",2025-07-17 18:13:58,Google
PepsiCo Stock Climbs on Better-Than-Expected Results as International Sales Gain - Investopedia,https://news.google.com/rss/articles/CBMiugFBVV95cUxQRllqcjlnaXZhLWw5RGlMYXJfV3hRNWZ4SW1zVnlBVlFzdGxnTGoxZlRpdTBxdzg2MkxoQWpQLWVzUU9fcjRNN1NVZ0NBMTEtbDVtZVdmd0ZucmYzS3pyTUFOSENRaFJhS3BIeFFaZjExRjd5Z1BtSHpMRjRqeEQ3eFhCYXhPamxlMTVBZmpIN0JCVTk1bHA1Y0x1NXI1akh5MzM4RVJfdHVqdTFLcVFaa1BPZGFpV2RzMHc?oc=5,"Thu, 17 Jul 2025 14:23:27 GMT",2025-07-17 14:23:27,Google
PepsiCo Revenue Rises Despite Lower North America Volumes - The Wall Street Journal,https://news.google.com/rss/articles/CBMimgNBVV95cUxQOUtfNWlBcnh4U1E5QWVTXzZaX1N0YjltT09vYjBLNEdPVEsxNU5JYmhKT3Bud0xYR3pYb2l5cHNIaGE1dEVuQlVjSDNLcFctcGc5dGFtMzJTZzBPS19ZNnprR3M0aHlDbkI0czBfMS12cFVQQ1BLWWhxV1VVcGFyZVZ3QmVqelVKaGFqbXQ0QVlOLWRpSUpESGItejhrS1Z6M28wMkprMWYwZTY1ZzZEdm84TE1aSC1NWWtIRWNkQVc4QXR6dzR0MzhucERtRVZnVEdzVV9JSTVTSUxDZ1luSTlPSkZLTzFrZ1NZMWxjVEh5OUF3ci04bnR4QW9oQUNlTGlMRnFrd3NmWGZmRHllVVhfQkN3V1AxcXNHTmpzZWpDR2lXV2pFWm1oU05ITTdQOGJxZjlMZExxQ2RwZFF2YjZSbW9tWFJOdDdDbDBSS0g4dEhrU0ZIRzhiazFVeFB6QWFpQTV6cnRqcEc4QW1Zakh1SGJQVkdGMDZBblRDSVVHUlBwZmhUYm5IRjlEOFJZa1hGT3FiOER1QQ?oc=5,"Thu, 17 Jul 2025 12:26:00 GMT",2025-07-17 12:26:00,Google
