title,link,published,date,source
"S&P 500, Nasdaq end at fresh record highs as data, earnings point to consumer strength - Reuters",https://news.google.com/rss/articles/CBMiuwFBVV95cUxPS0ZvQ181YzBIb3dJQ2FCUnNaQUFxeUdKWjAxTks4a0k2b1R5c09FMGtvMVIzX2NEdUJYemZRYktWVzMzbF84V19NQWxib1pYaktsV2tFVTFLYk1uTXV0V0NFMmM3c0p4aGhPWXZIZktySEg4ZVhZSi1QR1AzdzhfM2d0UkF0RTVNLTZ5UUd1TUdjbU0tNkRWaGVUMjJ0WERpdEJON09LU1Q0OUZBTUR3LVkxNUpndTRlRDVJ?oc=5,"Thu, 17 Jul 2025 22:34:59 GMT",2025-07-17 22:34:59,Google
"Stock Market News From July 17, 2025: S&P 500, Nasdaq Notch Record Highs - Barron's",https://news.google.com/rss/articles/CBMidkFVX3lxTE1BM000LTdrTHZUbklNNEd4WXdST1Z5ekRsNmJ6QXljS2JRTnN5Z3BZeldSeldRbHJ4ZGN3N1ZxRDFrNC1iMWc5TWZyVFJWYVYzcUFmUVJURDRZb0hscDRrSFA1SGltbmpRREhEVHp2OG9wVGt6T3c?oc=5,"Thu, 17 Jul 2025 21:55:00 GMT",2025-07-17 21:55:00,Google
"Markets News, July 17, 2025: S&P 500, Nasdaq Close at Record Highs as Investors React to Strong Earnings, Economic Data - Investopedia",https://news.google.com/rss/articles/CBMib0FVX3lxTE0wR3QwZVk1U1NWNDhwNXNJQmY0MnlIdVpGT2VvdFZzMm5oYWxjVS0zLWViejZTeFAzb25weWVNSFVKcHVueFhCMEtQS0pnZXlBMjFJSk1fNTlPOWtqTkZ6U095SjV6VVVvZER0dUk4Yw?oc=5,"Thu, 17 Jul 2025 22:28:12 GMT",2025-07-17 22:28:12,Google
"Stock market today: Dow, S&P 500, Nasdaq futures steady after march to latest records - Yahoo Finance",https://news.google.com/rss/articles/CBMizAFBVV95cUxObkVwZ096Z2t6TjIwUHd2cVpkTEFFS2pNcHZLWklDLUh2SVBOS241TFdvNmJlLThxUlNwRXF1MW1HTHNCQ2htRGFGM3ZnZVNWSHZ3elJRMngtMENKY1dEWGVBLW00RGo0OVBfbVZNbjg2N0Yta1p3dVhIQ1V5RHpTa0JNRG02dnd0cFZrVzhVUEEwTEFrMUpPSzJCTXlrMi01M1VzUk1HNmptTGZkR3k2ZXIyUHlGSFdPakVQODFrNWJ0T3pxeXNRUkx3VXo?oc=5,"Fri, 18 Jul 2025 01:07:30 GMT",2025-07-18 01:07:30,Google
"Stock Market for July 17, 2025: S&P 500, Nasdaq finish at fresh records on sturdy economic data; Dow climbs 230 points - MarketWatch",https://news.google.com/rss/articles/CBMizAFBVV95cUxNUlFhQzZyR04yNzZNakg5OUx2c1VPWWpxTS1KS3gxOHE5bElySHJydHRNeDNJS1pBc3dnZXo1a19US3Vnb0syZGxPNldPU1NpLVlGTEdxZXFnbkJza3hZRHAxTHg2b3NSNVVOTXVsNGFidlNPNlQxMm5hd0ZWYV9mUDc5VUxTN0tzcF81VmhvZmF3d0xUZXNKNnlHSTZEVDBKVVZNTVRUUU9Hci1OX2xHbjdWRnZUMHpENEFQRGV3NENxN2NuUFRLcGJobkU?oc=5,"Thu, 17 Jul 2025 20:24:00 GMT",2025-07-17 20:24:00,Google
"S&P 500 rises to new closing record, boosted by solid earnings and U.S. economic data: Live updates - CNBC",https://news.google.com/rss/articles/CBMid0FVX3lxTFBEN1pNTHhFVUx5SVlJQktVLV9RcmYzOWJmWjhNWVNFQTZPQThzWTVkY3Zja2ZreTl0bEdPQ09fbXdUR0tyOTJUOERreWZPelFMaHJiaTFkb2dxRjloVW8xdHYzSVIyZncxSzFUS2xQQW9RZjVsV3dR0gF8QVVfeXFMUHFSU0I0bmZ5TjZMNi1BWDVkYmdBRGNmeGFIclF1TUIyN1FnckNNSjI2bGZaOFUzNGdGQk9DV256ZWVxTVc0WWxPM1lSdlJXa0pvUHk1OW4yMFlUMUNEZHdIMEdOejVCRzE4a0RRcmlpRGhnOTI0TjItNWlScQ?oc=5,"Thu, 17 Jul 2025 21:53:00 GMT",2025-07-17 21:53:00,Google
S&P 500 Hits New Record: Here’s Why Stocks Are Booming - Forbes,https://news.google.com/rss/articles/CBMi9AFBVV95cUxOcFZqRDl4cE5rN2hYWjRLbkdSZ2d1bjY4aEJEUUtBU3o2R3NmcEZRRkpTcGN5NXlTbTdIQ0M2MkxvVm1DaUo1TWFyQWRnSFY4YVFSMHZBSlhNZTdwYU11YzNqUzZZUlh3ajRnOThvNWV1dHFGMWUxLXhjbXJaUjRKTzlJaV9xYVVXMFV3VUZYTGpUeUdnNHRDM0JDNklqeFd6S0wtSWVGSkIzam5iVmZIdzBFOFhPWUtiMDFGRWpyN2ZBbkxYT1JZckFDcWdOQlE4NDdEX2E2QnlxaDFsall6WEd3WWpIdVdNZVJ1N1RxYTJBaUZm?oc=5,"Thu, 17 Jul 2025 19:14:13 GMT",2025-07-17 19:14:13,Google
"Stock futures are little changed after earnings, economic data lift S&P 500 to records: Live updates - NBC New York",https://news.google.com/rss/articles/CBMi8gFBVV95cUxPaUJ0OTdSTU1tVk1TaDZGTzdlRENCbEk4TF8tLURESi1OaVhaRkI2V01OZjU3UDdUR3Nrc0JjWmdwTjZVemxZMm9YV0w5TTlFUm9lbnd1UjdZcUJQQTNMYmdpX2JTSVZZOGZ6X19tdTUzZ3cxaWVKcGRrVkhRM05pMW1RYzljWTV2WVBSblhYTDM5d2szNHE2S0NWRzhyTTRHczhQWERBODJMMDhFbFM0eGJLSVVrMGx6OFUzVFFLc1ZpYTVXVWNkanpwWmh1c2NXQW93a0RXZmdacllEYmRDOGRlRG9MWjYzdDJ1RUlyM1VIZ9IB-gFBVV95cUxOc3dYSXZpTUl2ZjJKWEpPc3pCVGt3ME1tMzVNR1poT05iQzhJTVp3c29jWGtSUGxSMGFrNFFBOG5zWkRnNmc0Q0lnTVBfYndOWWxsbElBNDhEcGJLU2ozTzhEWG5qeXRBckI5Y0VOLUhnZlFQNzFTcWlPelVfOGJhakpGWGJtVllrX3Z1TVZnTGRNYVBVSkhCek55SlhhSnRQMVI2SXZBMEtnX1diUFJBUXpwYjJZZHFOTnhjaEthbzJpR1FWNUszWmRnMDN2SUFzTDNvUndYcTZJdmFHSkdCWWdNRVFuNFJacHI3S0UyVS1ORDViNkRqRzFn?oc=5,"Thu, 17 Jul 2025 22:02:07 GMT",2025-07-17 22:02:07,Google
"Stock Market Today: Dow Rises 250 Points; Earnings, Economic Data in Focus — Live Updates - The Wall Street Journal",https://news.google.com/rss/articles/CBMijANBVV95cUxOS1B0VmV6ODVXNFRWTUFEdGdTa3c4NUJvYVlSM05CZWItc1pGcGoyQVBHWWlnODBqbGVEVXVtbVpDZHp0TXJqVVUyMjRyUExvMFpUb3ZoWVliaUx2X0x4TTZtekl2Y1VOWUNkbWJFTHRPV0lGMzZRTDVPaF9UdHZVamo4d1YwSVNSeWJyY0NHVlZGTTN1SkpiM2ZSTTZzX0ZPc2FKNDRpdkdjbHRORkd2eU1EeVNnaEd2UXpDaW5YdXp2LWp1bDdLeTJhX3c5YUctR0o3aHlsRDJYMG5ybG5MZGhROUl4OTl2c2xzMGxTNC0zd0pSSmFxZlZldU41NXE1MVBfdmJTRUZBNFMxWlpPbFpnQzd5NVFJZjA3MEFidVcwZ3FtZUxrc1VlXzdqeHE0aW1BM1hURHRiOGUya1JLcWhxel8zUm1ldnd2Ui11Mm1HWXVXUjBELWhCb2RtMGhXWWNKb1pkYVJxeU5HRFBobTFaTlNQQ0lUbGNvRGw0QW1ZWDFlbXNfc1dyNGQ?oc=5,"Fri, 18 Jul 2025 01:55:00 GMT",2025-07-18 01:55:00,Google
S&P 500 Hits Record on Signs Economy in Good Shape: Markets Wrap - Bloomberg.com,https://news.google.com/rss/articles/CBMilAFBVV95cUxNVG56QVg2S01VTVZEbFlIc3B0Y0UtWVhBVzJaNjJqelhqcV9ZZW9DdkZmUWJUQUsxdG9LUHA1NWNfemdzT1NCZFdnd09FZW8xSkRkM1lSdEI5cXJOWXJ4SjNoakhxdFY2ZE9kdUdKWWY1YldxcVBTdEQ5WkZ1ckp6RTlLellHdnJvbjlsZlNpYnRSS0Zv?oc=5,"Thu, 17 Jul 2025 20:20:21 GMT",2025-07-17 20:20:21,Google
