title,link,published,date,source
"S&P 500, Nasdaq end at fresh record highs as data, earnings point to consumer strength - Reuters",https://news.google.com/rss/articles/CBMiuwFBVV95cUxPS0ZvQ181YzBIb3dJQ2FCUnNaQUFxeUdKWjAxTks4a0k2b1R5c09FMGtvMVIzX2NEdUJYemZRYktWVzMzbF84V19NQWxib1pYaktsV2tFVTFLYk1uTXV0V0NFMmM3c0p4aGhPWXZIZktySEg4ZVhZSi1QR1AzdzhfM2d0UkF0RTVNLTZ5UUd1TUdjbU0tNkRWaGVUMjJ0WERpdEJON09LU1Q0OUZBTUR3LVkxNUpndTRlRDVJ?oc=5,"Thu, 17 Jul 2025 22:34:59 GMT",2025-07-17 22:34:59,Google
"Markets News, July 17, 2025: S&P 500, Nasdaq Close at Record Highs as Investors React to Strong Earnings, Economic Data - Investopedia",https://news.google.com/rss/articles/CBMib0FVX3lxTE0wR3QwZVk1U1NWNDhwNXNJQmY0MnlIdVpGT2VvdFZzMm5oYWxjVS0zLWViejZTeFAzb25weWVNSFVKcHVueFhCMEtQS0pnZXlBMjFJSk1fNTlPOWtqTkZ6U095SjV6VVVvZER0dUk4Yw?oc=5,"Thu, 17 Jul 2025 22:28:12 GMT",2025-07-17 22:28:12,Google
"Stock Market for July 17, 2025: S&P 500, Nasdaq finish at fresh records on sturdy economic data; Dow climbs 230 points - MarketWatch",https://news.google.com/rss/articles/CBMizAFBVV95cUxNUlFhQzZyR04yNzZNakg5OUx2c1VPWWpxTS1KS3gxOHE5bElySHJydHRNeDNJS1pBc3dnZXo1a19US3Vnb0syZGxPNldPU1NpLVlGTEdxZXFnbkJza3hZRHAxTHg2b3NSNVVOTXVsNGFidlNPNlQxMm5hd0ZWYV9mUDc5VUxTN0tzcF81VmhvZmF3d0xUZXNKNnlHSTZEVDBKVVZNTVRUUU9Hci1OX2xHbjdWRnZUMHpENEFQRGV3NENxN2NuUFRLcGJobkU?oc=5,"Thu, 17 Jul 2025 20:24:00 GMT",2025-07-17 20:24:00,Google
"Stock market today: Dow, S&P 500, Nasdaq futures steady after march to latest records - Yahoo Finance",https://news.google.com/rss/articles/CBMizAFBVV95cUxObkVwZ096Z2t6TjIwUHd2cVpkTEFFS2pNcHZLWklDLUh2SVBOS241TFdvNmJlLThxUlNwRXF1MW1HTHNCQ2htRGFGM3ZnZVNWSHZ3elJRMngtMENKY1dEWGVBLW00RGo0OVBfbVZNbjg2N0Yta1p3dVhIQ1V5RHpTa0JNRG02dnd0cFZrVzhVUEEwTEFrMUpPSzJCTXlrMi01M1VzUk1HNmptTGZkR3k2ZXIyUHlGSFdPakVQODFrNWJ0T3pxeXNRUkx3VXo?oc=5,"Fri, 18 Jul 2025 01:07:30 GMT",2025-07-18 01:07:30,Google
"Mike Wilson Sees Up to 10% S&P 500 Drop, Is Eager to Buy the Dip - Bloomberg.com",https://news.google.com/rss/articles/CBMiswFBVV95cUxPUGRSR011aWUxNXRfU1hQWFdMQmpvMTNUU3hzcmpsMUk2VmdhZXE3R3NKTzlBQUlOQ2dzd29IN0xNc0QtNlhmd0kxaU1ZSlh6MUhJWmtCZFNNYm1DOWZqamtCNHMzNk9NN2U0YU9KbVVIbTY2VU95aDBBZ2J2QTY0MmFfUHpHN0s0TDI3TUR6VkJ1MzdubDFVSFc0dC10a0NWR1FISEpVNG5LcmNhb1kzZUlXWQ?oc=5,"Thu, 17 Jul 2025 16:17:21 GMT",2025-07-17 16:17:21,Google
"S&P 500 rises to new closing record, boosted by solid earnings and U.S. economic data: Live updates - CNBC",https://news.google.com/rss/articles/CBMid0FVX3lxTFBEN1pNTHhFVUx5SVlJQktVLV9RcmYzOWJmWjhNWVNFQTZPQThzWTVkY3Zja2ZreTl0bEdPQ09fbXdUR0tyOTJUOERreWZPelFMaHJiaTFkb2dxRjloVW8xdHYzSVIyZncxSzFUS2xQQW9RZjVsV3dR0gF8QVVfeXFMUHFSU0I0bmZ5TjZMNi1BWDVkYmdBRGNmeGFIclF1TUIyN1FnckNNSjI2bGZaOFUzNGdGQk9DV256ZWVxTVc0WWxPM1lSdlJXa0pvUHk1OW4yMFlUMUNEZHdIMEdOejVCRzE4a0RRcmlpRGhnOTI0TjItNWlScQ?oc=5,"Thu, 17 Jul 2025 21:53:00 GMT",2025-07-17 21:53:00,Google
The Trade Desk to Join the S&P 500 Index - Business Wire,https://news.google.com/rss/articles/CBMinAFBVV95cUxNQXFEN29OYW1YWEFGRU1xQndoRUhjSDJoVG1RVlpIRTREQmdscDBEQV9FQ3lKd0VpOVNyYzB5bzA0QU9fTWwzdGpLMTJrXzJCVzhtVjJ3TGtURkRJN09vZXcxUEFHWExUcTB4Ykg2ZlNDUjJCZWZ3V2RzQ3BxenBtR3dLOXZGQVcxZVZubkhaT09vbFl0dVoyRGkzTnE?oc=5,"Thu, 17 Jul 2025 20:01:00 GMT",2025-07-17 20:01:00,Google
Trade Desk To Join S&P 500 Index; Robinhood Snubbed Again - Investor's Business Daily,https://news.google.com/rss/articles/CBMikAFBVV95cUxOVFVXcjlrdjNLWkxJSDZzMG16aVBnM1JEMWVDZnZEazhuZDhYdmEta2wwYW04dHluWXdHVUJUSTFDSUJjODRFRWh3ZEVVdUZGSXRENG9IQ2E0THloSWVnSEdRUDNBSkZZcVpaWm5kN1BIVk5VeEYwS2EtSkxwcFVFSTdpMUlwS0pua0Q5bjY5c24?oc=5,"Tue, 15 Jul 2025 13:15:00 GMT",2025-07-15 13:15:00,Google
The Trade Desk to join S&P 500 index on Friday - Investing.com,https://news.google.com/rss/articles/CBMipAFBVV95cUxOaVpBdW9YQTV3cVJueU5ub3VPc2FWUWpNNVlKRUtQY29zdWc0bVczUE1FMGNZWXFCZWJTV2FvUWJ3bHZ1U3RPV1dMWEhhZE82aWswak50UnZuUmZSR1MzU0hCVUlud2xxUDJjblFFM2oxOTB4VU11TlJobHVRLTg2YTdYS0dMQ0VtcXZlUUZnNDI0Q050c0FBc0JrV2JKYXNqNTRzVg?oc=5,"Thu, 17 Jul 2025 20:16:34 GMT",2025-07-17 20:16:34,Google
"How major US stock indexes fared Thursday, 7/17/2025 - ABC News - Breaking News, Latest News and Videos",https://news.google.com/rss/articles/CBMingFBVV95cUxNdzlsWk1oT3o3a2JtZG9NY2dsM0M2UjBBeVZHOWdITG1HWkRUcFNWZTNaX1F6NTRhakZCZ09kMnlFd251cGVKbTVjMVRBbWwtNWZIeXFXYWg3ZkdPMEpTSk1LZFpmSHZoQ2cwSHlmN1NZa0RXbHViVUNISlNBZzNiWFU4aWplZHgtWHJIcnZ4LXYtb2t2MDIwY1NQSFVld9IBowFBVV95cUxQTHZhVGhScDRKQzgyX3N5ZU9EYTBISnhxVnN3b2NiaXJ4Q3paVFZLR1lVaHZ2dzNXcms1NElibWlLeENwWGxPVVRYQmtXMlZMZjIxQW1Nb2h5M3hvNl9qTERFRUZhdkN4S204WDN6cFRuMWxUMzlxblIzZTZkNmJJUlByM3l4NjVqUG85eEpIV0FsQ0dhSU52VEhpU3BxeEtYaUlr?oc=5,"Thu, 17 Jul 2025 21:15:37 GMT",2025-07-17 21:15:37,Google
